phi_center,psi_center,n,n_structures,k_empirical_secant,ci_lo,ci_hi,ci_width,k_amber_ff14SB_verified,delta_k,well_supported,ci_excludes_amber
-175.0,-35.0,3,3,-0.0038369358370656166,-0.5752110757280031,0.5880400976979471,1.1632511734259503,10.826548734499958,-10.830385670337025,False,True
-175.0,-15.0,4,4,0.04968171849435663,-0.10857437200615383,0.1717463516594825,0.2803207236656363,10.826548734499958,-10.776867016005601,False,True
-175.0,-5.0,4,4,-0.2511538610166798,-0.8347489241755834,0.08128734112554398,0.9160362653011274,10.826548734499958,-11.077702595516639,False,True
-175.0,5.0,3,3,0.34737886943938917,-0.1559362103466711,0.8646228710713594,1.0205590814180305,10.826548734499958,-10.47916986506057,False,True
-175.0,25.0,1,1,-1.1525555225347377,-1.1525555225347377,-1.1525555225347377,0.0,10.826548734499958,-11.979104257034695,False,True
-175.0,45.0,3,3,-0.7264690634949037,-0.9787150306568052,-0.3851272183479854,0.5935878123088199,10.826548734499958,-11.553017797994862,False,True
-175.0,55.0,6,6,-0.10363063669460593,-0.281499854632723,0.06595675783986747,0.34745661247259046,10.826548734499958,-10.930179371194564,False,True
-175.0,65.0,7,7,0.3070170179476663,0.09946645864683655,0.5453033285364446,0.445836869889608,10.826548734499958,-10.519531716552292,False,True
-175.0,75.0,14,13,-0.20822033574202445,-0.45871243712706156,0.009684923425123379,0.46839736055218495,10.826548734499958,-11.034769070241984,False,True
-175.0,85.0,15,15,0.012273557086882322,-0.26023493960417843,0.2756337731142653,0.5358687127184437,10.826548734499958,-10.814275177413077,False,True
-175.0,95.0,18,18,-0.17311519745106194,-0.4141243587728298,0.07431106059393432,0.48843541936676416,10.826548734499958,-10.999663931951021,False,True
-175.0,105.0,21,21,0.15996346971772368,-0.10733876461400642,0.4398119619372263,0.5471507265512328,10.826548734499958,-10.666585264782235,False,True
-175.0,115.0,42,41,0.23569585913191576,0.0722334701148235,0.3988214014667643,0.3265879313519408,10.826548734499958,-10.590852875368043,False,True
-175.0,125.0,61,61,0.288740998463949,0.18609719984739403,0.3973904177186174,0.21129321787122335,10.826548734499958,-10.53780773603601,False,True
-175.0,135.0,105,103,0.3709774093852619,0.27550528180387773,0.47106602110183926,0.19556073929796153,10.826548734499958,-10.455571325114697,True,True
-175.0,145.0,240,230,0.6292450054062281,0.558551095702459,0.7076606713966339,0.14910957569417493,10.826548734499958,-10.197303729093731,True,True
-175.0,155.0,543,500,0.674626500601005,0.6241559527397998,0.7267702729121679,0.10261432017236805,10.826548734499958,-10.151922233898954,True,True
-175.0,165.0,1033,938,0.6893229763394234,0.6512601113219311,0.7282535292991101,0.07699341797717907,10.826548734499958,-10.137225758160534,True,True
-175.0,175.0,920,842,0.7777632834247564,0.7340520284064611,0.8282560990077621,0.09420407060130098,10.826548734499958,-10.048785451075203,True,True
-165.0,-175.0,1068,969,0.9126880585137634,0.8680869724953717,0.9587853425555294,0.09069837006015768,7.269935127402635,-6.357247068888872,True,True
-165.0,-165.0,356,342,1.0601808253396872,0.9833005815244192,1.139191998066194,0.15589141654177474,7.269935127402635,-6.209754302062948,True,True
-165.0,-155.0,147,141,0.9693567298433391,0.8564039814157954,1.0850139507035628,0.22860996928776733,7.269935127402635,-6.300578397559296,True,True
-165.0,-145.0,42,42,0.7554496403960899,0.5048715783517914,1.0048217114830587,0.49995013313126724,7.269935127402635,-6.514485487006546,False,True
-165.0,-135.0,25,25,0.6797425797775576,0.4164482651733115,0.9440585817922917,0.5276103166189803,7.269935127402635,-6.590192547625078,False,True
-165.0,-125.0,8,8,0.36296279056645586,0.020635162895449213,0.8915399525540019,0.8709047896585527,7.269935127402635,-6.90697233683618,False,True
-165.0,-115.0,5,5,0.8012982500059183,0.49644945520474504,1.2331361693936256,0.7366867141888805,7.269935127402635,-6.468636877396717,False,True
-165.0,-105.0,8,8,0.35694143752693286,0.09897812554810682,0.7000226164872639,0.6010444909391571,7.269935127402635,-6.9129936898757025,False,True
-165.0,-95.0,1,1,0.10188305053255664,0.10188305053255664,0.10188305053255664,0.0,7.269935127402635,-7.168052076870079,False,True
-165.0,-85.0,4,4,0.4742973469368141,0.10490085684567801,0.9130310442081957,0.8081301873625177,7.269935127402635,-6.795637780465821,False,True
-165.0,-75.0,4,4,0.04884078823060764,-0.4722679351619828,0.5699495116231981,1.0422174467851808,7.269935127402635,-7.221094339172028,False,True
-165.0,-65.0,5,5,0.04185877323564237,-0.15655986186766788,0.23452978211447836,0.39108964398214624,7.269935127402635,-7.228076354166993,False,True
